Trailers,BEVS_BEAUTY,BORN_TO_RUN,BROTHERS_IN_ARMS,CHARLOTTES_WEB,CLUDEN_GREEN,COASTAL_TRADER,DANCING_IN_THE_DARK,DEWEY_LOUIE,FIFTY_SHADES,GREEN_ADDICTION,GREEN_BARON,GREEN_CURRY,GREEN_DREAM,GREEN_EGGS,GREEN_ENVY,GREEN_GOBLIN,GREEN_GODDESS,GREEN_GROCER,GREEN_IVY,GREEN_LANTERN,GREEN_MAISE,GREEN_MILE,GREEN_MILKY,GREEN_MIST,GREEN_STRALLIS,GREEN_TRUMP,HARD_ANTLER,HOT_LOUIE,ICE_LOUIE,JELLEY_BABY,KING_LOUIE,LOYAL,PASTA_LOUIE,STAR_ATTRACTION,STAR_LOUIE,THE_DRIFTER,THE_GUV,THUNDER_ROAD,Z_LAST
H180J,No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FC505,No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FC503,No,No,YES (50t),No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
FC504,No,No,YES (50t),No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,YES (49t),No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
M441R,No,No,No,No,No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Q738U,No,No,No,No,No,No,No,No,No,No,No,YES (50t),No,No,No,No,No,No,No,No,No,YES (49t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
BC606,No,No,No,No,No,No,No,YES (47t),No,No,No,No,No,No,YES (47t),No,No,No,YES (48t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,YES (48t),No,No,No,No,No
BC606B,No,No,No,No,No,No,No,YES (47t),No,No,No,No,No,No,YES (47t),No,No,No,YES (48t),No,No,No,No,No,No,No,No,No,No,No,No,No,No,YES (48t),No,No,No,No,No
BC604,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (47t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC604B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (47t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC605,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (47t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC605B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (47t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC607,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC607B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC608,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC608B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC602,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (50t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC602B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (50t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC619,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC619B,YES (49t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),No,No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
BC603,No,No,No,No,No,No,No,YES (47t),No,No,No,No,No,No,YES (50t),No,No,No,YES (47t),No,No,No,YES (48t),No,No,No,No,No,No,No,No,No,No,YES (48t),No,No,No,No,No
BC603B,No,No,No,No,No,No,No,YES (47t),No,No,No,No,No,No,YES (50t),No,No,No,YES (47t),No,No,No,YES (48t),No,No,No,No,No,No,No,No,No,No,YES (48t),No,No,No,No,No
BC615,YES (48t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,No,YES (49t),YES (49t),YES (48t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (49t),YES (49t),YES (49t),YES (49t),No,YES (50t),No,YES (49t),YES (50t),YES (50t),YES (50t),YES (50t)
BC615B,YES (48t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,No,YES (49t),YES (49t),YES (48t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (49t),YES (49t),YES (49t),YES (49t),No,YES (50t),No,YES (49t),YES (50t),YES (50t),YES (50t),YES (50t)
BC620,YES (48t),YES (50t),No,YES (50t),YES (49t),No,YES (50t),YES (50t),No,YES (50t),YES (50t),YES (50t),No,YES (49t),YES (50t),YES (49t),No,No,No,YES (50t),No,No,No,YES (50t),YES (49t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),YES (50t),No,YES (50t),No,YES (50t),YES (50t),YES (50t),YES (50t),YES (50t)
